Hotel type ,Room type,Number of Rooms,Occupancy-min,Occupancy-max,Rates,,,,,,
,,,Adult+child,Adult+child,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
5-star,Deluxe Double,35,1+0,2+0,75,75,75,80,90,90,75
,Deluxe Twin,25,1+0,2+1,75,75,75,80,90,90,75
,Deluxe Single,10,1+0,1+1,70,70,70,75,80,80,65
,Deluxe Family,10,1+0,3+1,80,80,80,80,100,100,80
4-star,Executie Double,40,1+0,2+0,70,70,70,70,80,85,85
,Executive Twin,32,1+0,2+1,70,70,70,70,80,85,85
,Executive Single,12,1+0,1+1,65,65,65,65,70,75,80
3-star,Classic Double,45,1+0,2+0,65,65,70,70,75,80,65
,Classic Twin,45,1+0,2+1,65,65,70,70,80,85,65
,Classic Single,10,1+0,1+1,50,50,50,60,75,75,50
